#image section
#-----------------
big-monster.gif

#vertices section
#	x	y
#-----------------
0	528.0	190.0
1	543.0	234.0
2	534.0	263.0
3	535.0	274.0
4	532.0	285.0
5	550.0	305.0
6	549.0	319.0
7	562.0	334.0
8	583.0	345.0
9	602.0	352.0
10	606.0	347.0
11	618.0	358.0
12	611.0	393.0
13	622.0	403.0
14	619.0	419.0
15	625.0	440.0
16	645.0	457.0
17	651.0	459.0
18	678.0	478.0
19	631.0	474.0
20	615.0	475.0
21	624.0	489.0
22	635.0	497.0
23	606.0	489.0
24	592.0	481.0
25	589.0	485.0
26	594.0	501.0
27	610.0	516.0
28	577.0	503.0
29	555.0	482.0
30	554.0	465.0
31	545.0	460.0
32	533.0	465.0
33	532.0	461.0
34	505.0	456.0
35	526.0	444.0
36	537.0	433.0
37	533.0	427.0
38	549.0	420.0
39	553.0	403.0
40	564.0	389.0
41	568.0	370.0
42	551.0	374.0
43	526.0	368.0
44	513.0	373.0
45	508.0	370.0
46	495.0	374.0
47	483.0	370.0
48	473.0	376.0
49	451.0	376.0
50	436.0	388.0
51	425.0	388.0
52	417.0	401.0
53	396.0	403.0
54	385.0	397.0
55	379.0	399.0
56	383.0	411.0
57	379.0	423.0
58	366.0	431.0
59	383.0	443.0
60	400.0	449.0
61	428.0	462.0
62	452.0	479.0
63	442.0	482.0
64	447.0	488.0
65	433.0	486.0
66	432.0	491.0
67	394.0	485.0
68	367.0	485.0
69	366.0	472.0
70	357.0	458.0
71	340.0	450.0
72	323.0	430.0
73	324.0	426.0
74	311.0	408.0
75	325.0	411.0
76	316.0	401.0
77	288.0	394.0
78	287.0	415.0
79	306.0	436.0
80	311.0	459.0
81	317.0	465.0
82	324.0	465.0
83	331.0	470.0
84	333.0	474.0
85	361.0	494.0
86	339.0	495.0
87	325.0	501.0
88	314.0	496.0
89	299.0	509.0
90	286.0	519.0
91	253.0	535.0
92	252.0	522.0
93	211.0	528.0
94	224.0	502.0
95	186.0	517.0
96	202.0	495.0
97	214.0	487.0
98	225.0	476.0
99	229.0	478.0
100	233.0	469.0
101	241.0	465.0
102	245.0	436.0
103	242.0	414.0
104	231.0	406.0
105	238.0	392.0
106	216.0	397.0
107	201.0	397.0
108	188.0	410.0
109	187.0	428.0
110	194.0	441.0
111	196.0	453.0
112	217.0	466.0
113	192.0	472.0
114	147.0	489.0
115	158.0	473.0
116	126.0	480.0
117	133.0	469.0
118	101.0	466.0
119	127.0	453.0
120	130.0	444.0
121	137.0	444.0
122	141.0	429.0
123	121.0	422.0
124	116.0	406.0
125	123.0	384.0
126	113.0	365.0
127	90.0	358.0
128	120.0	352.0
129	139.0	361.0
130	169.0	340.0
131	207.0	320.0
132	220.0	313.0
133	246.0	306.0
134	255.0	300.0
135	267.0	294.0
136	280.0	288.0
137	289.0	297.0
138	304.0	280.0
139	322.0	270.0
140	319.0	261.0
141	312.0	236.0
142	350.0	215.0
143	331.0	193.0
144	241.0	206.0
145	236.0	194.0
146	240.0	170.0
147	248.0	150.0
148	258.0	148.0
149	262.0	139.0
150	279.0	136.0
151	319.0	125.0
152	362.0	78.0
153	351.0	109.0
154	386.0	84.0
155	389.0	92.0
156	406.0	82.0
157	450.0	80.0
158	476.0	81.0
159	475.0	90.0
160	514.0	101.0
161	462.0	102.0
162	419.0	111.0
163	452.0	118.0
164	483.0	136.0
165	503.0	157.0
166	527.0	190.0
